Symbol,Trades,Wins,Losses,WinRate,ProfitFactor,AvgWin,AvgLoss,Profit_500,Return%
AAPL,20,7,13,35.0,3.15,2.98,0.51,26.21,5.2
MSFT,20,9,11,45.0,2.89,2.94,0.83,17.85,3.6
CVX,16,6,10,37.5,2.66,1.19,0.27,14.5,2.9
MRK,12,4,8,33.3,2.55,1.1,0.22,12.82,2.6
WFC,17,6,11,35.3,2.51,0.86,0.19,18.26,3.7
MCD,19,7,12,36.8,2.23,2.28,0.6,14.71,2.9
VZ,16,5,11,31.2,1.83,0.27,0.07,7.79,1.6
QQQ,20,8,12,40.0,1.81,3.78,1.4,10.97,2.2
UNH,18,6,12,33.3,1.7,3.34,0.98,11.86,2.4
AMD,23,8,15,34.8,1.67,3.35,1.07,24.49,4.9
CAT,18,7,11,38.9,1.65,5.85,2.26,14.68,2.9
ABBV,13,4,9,30.8,1.64,2.29,0.62,7.81,1.6
META,18,5,13,27.8,1.62,6.86,1.63,10.58,2.1
COST,16,4,12,25.0,1.53,8.91,1.94,7.16,1.4
PEP,19,5,14,26.3,1.48,1.27,0.31,6.79,1.4
NVDA,17,6,11,35.3,1.46,2.12,0.8,11.05,2.2
IWM,15,6,9,40.0,1.45,1.22,0.56,4.53,0.9
INTC,14,5,9,35.7,1.4,0.48,0.19,7.92,1.6
DIS,16,4,12,25.0,1.27,0.92,0.24,3.21,0.6
GS,23,7,16,30.4,1.17,6.93,2.58,4.93,1.0
KO,23,8,15,34.8,1.16,0.24,0.11,1.76,0.4
BA,24,6,18,25.0,1.13,1.71,0.5,2.73,0.5
XOM,13,3,10,23.1,1.12,0.87,0.23,1.06,0.2
BAC,19,4,15,21.1,1.04,0.43,0.11,0.55,0.1
PFE,20,4,16,20.0,0.96,0.24,0.06,-0.99,-0.2
HON,25,6,19,24.0,0.93,1.17,0.4,-1.25,-0.3
ORCL,15,6,9,40.0,0.93,2.19,1.57,-5.2,-1.0
ADBE,22,5,17,22.7,0.88,3.31,1.11,-3.51,-0.7
JNJ,21,6,15,28.6,0.86,0.87,0.4,-1.83,-0.4
V,19,5,14,26.3,0.85,1.51,0.64,-2.03,-0.4
NKE,21,5,16,23.8,0.81,0.45,0.17,-4.44,-0.9
GOOGL,15,3,12,20.0,0.81,3.91,1.21,-5.12,-1.0
DIA,21,5,16,23.8,0.79,1.42,0.56,-1.97,-0.4
CRM,22,4,18,18.2,0.77,2.53,0.73,-6.45,-1.3
SBUX,15,2,13,13.3,0.73,0.97,0.21,-3.97,-0.8
T,18,2,16,11.1,0.69,0.28,0.05,-4.61,-0.9
SPY,9,2,7,22.2,0.68,2.0,0.84,-1.42,-0.3
NFLX,16,3,13,18.8,0.64,0.88,0.32,-6.48,-1.3
AMZN,20,3,17,15.0,0.63,2.17,0.61,-8.9,-1.8
CSCO,13,3,10,23.1,0.61,0.38,0.18,-4.35,-0.9
UPS,20,4,16,20.0,0.56,0.54,0.24,-8.01,-1.6
GE,24,6,18,25.0,0.55,1.78,1.09,-14.49,-2.9
TSLA,22,4,18,18.2,0.54,5.27,2.15,-20.49,-4.1
AVGO,18,4,14,22.2,0.54,3.63,1.94,-17.85,-3.6
TGT,14,3,11,21.4,0.46,0.48,0.29,-9.15,-1.8
HD,21,4,17,19.0,0.4,1.54,0.91,-13.31,-2.7
MA,15,2,13,13.3,0.39,2.91,1.15,-8.14,-1.6
JPM,22,3,19,13.6,0.38,1.74,0.72,-13.45,-2.7
WMT,18,2,16,11.1,0.36,0.85,0.29,-13.58,-2.7
LLY,12,2,10,16.7,0.22,4.04,3.71,-14.69,-2.9
